date,category
2015-11-25,fine
2015-11-26,fine
2015-11-27,cloudy
2015-11-28,cloudy
2015-11-29,partly cloudy
2015-11-30,partly cloudy
2015-12-1,partly cloudy
2015-12-2,cloudy
2015-12-3,cloudy
2015-12-4,partly cloudy
2015-12-5,fine
2015-12-6,partly cloudy
2015-12-7,cloudy
2015-12-8,cloudy
2015-12-9,partly cloudy
2015-12-10,rain
2015-12-11,partly cloudy
2015-12-12,partly cloudy
2015-12-13,cloudy
2015-12-14,partly cloudy
2015-12-15,cloudy
2015-12-16,cloudy
2015-12-17,rain
2015-12-18,fine
2015-12-19,fine
2015-12-20,fine
2015-12-21,cloudy
2015-12-22,rain
2015-12-23,rain
2015-12-24,partly cloudy
2015-12-25,partly cloudy
2015-12-26,cloudy
2015-12-27,partly cloudy
2015-12-28,cloudy
2015-12-29,partly cloudy
2015-12-30,fine
2015-12-31,partly cloudy
2016-01-1,partly cloudy
2016-01-2,cloudy
2016-01-3,cloudy
2016-01-4,rain
2016-01-5,rain
2016-01-6,rain
2016-01-7,rain
2016-01-8,fine
2016-01-9,cloudy
2016-01-10,fine
2016-01-11,fine
2016-01-12,cloudy
2016-01-13,fine
2016-01-14,partly cloudy
2016-01-15,rain
2016-01-16,cloudy
2016-01-17,partly cloudy
2016-01-18,fine
2016-01-19,partly cloudy
2016-01-20,partly cloudy
2016-01-21,partly cloudy
2016-01-22,rain
2016-01-23,rain
2016-01-24,cloudy
2016-01-25,cloudy
2016-01-26,cloudy
2016-01-27,cloudy
2016-01-28,cloudy
2016-01-29,partly cloudy
2016-01-30,rain
2016-01-31,rain
